Topic Title,Replies,Tags,Category,cleaned_title,cleaned_explanation
Account and Funds Accessibility Issues in Pots,"['Dear Jupiter App Product ManagersOn 15th April, I created financial pots within The Jupiter App and deposited an amount of money into it, assuming full functionality as my account was active at the time. However, upon attempting to close this pot and withdraw my funds, I was informed by the customer service team that my account had unexpectedly become “Dormant”. I was further advised that reactivation of my account requires a physical visit to the nearest branch of Federal Bank Ltd to complete KYC verification procedures.This requirement is inconvenient, as the initial account setup and KYC were conducted online. The sudden necessity for an in-person visit, which contradicts the digital-first convenience promised by The Jupiter App, is not only frustrating but also impractical, given the current emphasis on digital solutions.Moreover, the explanation provided—that the creation of the pot triggered the dormancy of my account—seems highly irregular and lacks transparency. This situation has led to my money being unjustly stuck without proper justification or prior warning.Therefore, I request a thorough investigation into this matter and ask for the following actions to be taken:A clear explanation of why my account was marked dormant after the pot creation and how it allowed me to deposit money in a “Dormant” account.Immediate restoration of online KYC procedures to reactivate my account, ensuring access to my funds without unnecessary hurdles.Assurance of better customer support in handling such issues, preventing future occurrences for myself and other users.Please consider this matter with urgency, as it affects not only the accessibility of my funds but also the trust placed in The Jupiter App. I would appreciate a prompt response, detailing the steps you will take to resolve this issue.Thank you for your attention to this urgent matter.']",[],Bug hunters,account funds accessibility issues pots,dear jupiter app product managerson 15th april created financial pots within jupiter app deposited amount money assuming full functionality account active time however upon attempting close pot withdraw funds informed customer service team account unexpectedly become dormant advised reactivation account requires physical visit nearest branch federal bank ltd complete kyc verification proceduresthis requirement inconvenient initial account setup kyc conducted online sudden necessity inperson visit contradicts digitalfirst convenience promised jupiter app frustrating also impractical given current emphasis digital solutionsmoreover explanation providedthat creation pot triggered dormancy accountseems highly irregular lacks transparency situation led money unjustly stuck without proper justification prior warningtherefore request thorough investigation matter ask following actions takena clear explanation account marked dormant pot creation allowed deposit money dormant accountimmediate restoration online kyc procedures reactivate account ensuring access funds without unnecessary hurdlesassurance better customer support handling issues preventing future occurrences usersplease consider matter urgency affects accessibility funds also trust placed jupiter app would appreciate prompt response detailing steps take resolve issuethank attention urgent matter
Pots Issue,"[""When I tried adding money to my existing Pots today, I got the message 'Get verified to start Investing ’ and on clicking it shows as ‘Video KYC successful’ but still not able to perform the action.Also, when I tried withdrawing from existing Pots, I am getting a code error.Is anyone facing similar issue?"", '@RaghavSthis seems to a bug. Its best you report this to the support team via email - support@jupiter.money and include pictures of the errors or videos of the errors you are facing.', 'Hello Raghavendar S,As we discussed on call. we see that the issue you reported have been resolved. We also acknowledge the feedback you shared regarding the support and will ensure to eliminate any issues that hinder giving you the best banking experience. Thank you for your support and understanding.', 'This topic was automatically closed 24 hours after the last reply. New replies are no longer allowed.']",[],Bug hunters,pots issue,tried adding money existing pots today got message get verified start investing clicking shows video kyc successful still able perform actionalso tried withdrawing existing pots getting code erroris anyone facing similar issue seems bug best report support team via email supportmoney include pictures errors videos errors facing hello raghavendar sas discussed call see issue reported resolved also acknowledge feedback shared regarding support ensure eliminate issues hinder giving best banking experience thank support understanding topic automatically closed 24 hours last reply new replies longer allowed
Pot withdrawal issue,"['Hey guys i am new to this communityI am having issues with my pot withdrawls.I have tried multiple times withdrawing money from it but it’s showing withdrawal failed.My jupiter account is active and so is my pots account.Pleass help me to resolve this issue as i urgently need the money.', 'Hello Sanat, we understand that you’re experiencing issues while attempting to withdraw from your POTs account. We sincerely regret the inconvenience caused. We will reach out to you via DM to assist you further.', 'Even I faced the issue, ultimately was asked to furnish new KYC docs physically in the nearest Federal Bank branch and time taken for this process was 3 to 4 working days']",[],Help,pot withdrawal issue,hey guys new communityi issues pot withdrawlsi tried multiple times withdrawing money showing withdrawal failedmy jupiter account active pots accountpleass help resolve issue urgently need money hello sanat understand youre experiencing issues attempting withdraw pots account sincerely regret inconvenience caused reach via dm assist even faced issue ultimately asked furnish new kyc docs physically nearest federal bank branch time taken process 3 4 working days
Not able to withdraw money from super pot,"['I created a superpot on 29/09/2023 and tried to withdraw the amount yeterday as I urgently needed it. It’s been more than 26 hrs and the transaction is still processing. Helpppp!!!', 'Welcome to the community@adhyan1011I suggest you to use the chat option on the app for a speedy response. Also, you can email the issue tosupport@jupiter.moneyor contact the customer care at 08655055086 (available 9am - 9pm) with the transaction id.Also, tagging@Nikhil_Godboleand@Samarth_TiwariHope it gets resolved soon']",[],Help,able withdraw money super pot,created superpot tried withdraw amount yeterday urgently needed 26 hrs transaction still processing helpppp welcome community suggest use chat option app speedy response also email issue tosupportmoneyor contact customer care 08655055086 available 9am 9pm transaction idalso tagging gets resolved soon
"More than 10,000/- got stuck in the Pots for more than 15days now","['On feb 20th , while doing couple of transactions from pots almost about 10,000/- got stuck in my pot unable to withdraw the amount and now the pots sections shows zero amount. But the assets shows as 10,000/- remaining in the pot.Customer service just dragging the topic asking for pot account statement where in if I try to fetch it from federal bank certificate page it says I dont have access to fetch it.I instead I have provided the customer service my account statement with all the transactions to the pot and it also has all the transactions from the pot, and it shows a discrepancy of 10,000/- clearly.I really dont know what is up with this issue but I have seen lot many customers faced the same issue recently. This is a huge amount for me and Im in an emergengy. I have trusted jupiter and it’s more than 15 to 20 days now and no resolution is provided.I would like to escalate this issue and take it forward so that better and quick resolution is provided ASAP.', 'Hello Sreeja,We hear your concern. We regret the inconvenience caused. We are connecting with you via DM to assist you further.Thank you.']",[],Help,10000 got stuck pots 15days,feb 20th couple transactions pots almost 10000 got stuck pot unable withdraw amount pots sections shows zero amount assets shows 10000 remaining potcustomer service dragging topic asking pot account statement try fetch federal bank certificate page says dont access fetch iti instead provided customer service account statement transactions pot also transactions pot shows discrepancy 10000 clearlyi really dont know issue seen lot many customers faced issue recently huge amount im emergengy trusted jupiter 15 20 days resolution providedi would like escalate issue take forward better quick resolution provided asap hello sreejawe hear concern regret inconvenience caused connecting via dm assist furtherthank
Money Stuck On Pot,"['Today (19/11/22) at 10:01 PM i created a super pot in jupiter , it showing processing from 15 mint and still on , even not showing in total net worth and amount is 50k so how many time it will take ? And if it is failed will my money came back into jupiter account?@ShawnpintoIMG-20221119-WA00011200×1600 101 KBIMG-20221119-WA00031200×1600 67.5 KBEven there is no option to delete pot', 'Same with me…One pot transaction is stuck in “processing” since yesterday as the systems were down.System is confused if the pot balance should be 36k or 46k.', 'Contact support team via email, my issue got solved already.Mail them with registered email id , hopefully it will be solved']",[],Help,money stuck pot,today 1001 pm created super pot jupiter showing processing 15 mint still even showing total net worth amount 50k many time take failed money came back jupiter account20221119wa000112001600 101 kbimg20221119wa000312001600 675 kbeven option delete pot meone pot transaction stuck processing since yesterday systems downsystem confused pot balance 36k 46k contact support team via email issue got solved alreadymail registered email id hopefully solved
Isn't the pot creation going to be easy as was it before,"['I see any new pot creation takes me to KYC and I’m trying to create a pot for more than 2 month and i’m still unable to complete as it keeps loading and doesn’t take me to approval process.Moreover this method is too time taking, Isn’t the pot creation going to be easy as was it before ?', 'This could a be a result of the recurring deposit offering. Suggest you to send an email to support@jupiter.money to get this issue resolved.']",[],General,isnt pot creation going easy,see new pot creation takes kyc im trying create pot 2 month im still unable complete keeps loading doesnt take approval processmoreover method time taking isnt pot creation going easy could result recurring deposit offering suggest send email supportmoney get issue resolved
Fixing money in and money out system,"['I just faced a glitch and I don’t want any other jupiter users to face it, so the problem is when I deposit money in any pot it shows me money debited (which is right) but it shows that in money out system and it shouldn’t because it can still be withdrawn back from pot to account but then money in system also face same thing, although this sounds like it is not a big deal but it is if you see the money in and money out it is wayyy more than money deposited or debited (it also gives a small heart attack\u200b:slightly_smiling_face:) mail me back if you don’t understand the problem I will tell you the steps and then you can see it and fix it.(I love jupiter app and I am have become a free promoter of your app ever since I used it and the debit card features spices it up.#LOVEJUPITER)']",[],Feedback & Ideas,fixing money money system,faced glitch dont want jupiter users face problem deposit money pot shows money debited right shows money system shouldnt still withdrawn back pot account money system also face thing although sounds like big deal see money money wayyy money deposited debited also gives small heart attacku200bslightlysmilingface mail back dont understand problem tell steps see fix iti love jupiter app become free promoter app ever since used debit card features spices uplovejupiter
Debit card Transaction succesfull but amount not reflected,"['I had paid a debit card payment on parivahan sarathi website and the transaction was successfull-showing on Jupiter App and showing failed on the website,money got deducted and still didn’t reflect to the receiver…Will i get my refund back?How can I get it??', 'Hello@iAmAlanSabu, it’s possible that the problem is with the Parivahan Sarathi website. Technical errors on the website can often cause these kinds of issues. I suggest checking your payment status on the website after 24 hours. If it still shows as failed, you can be assured that Jupiter will provide you with a refund.https://parivahan.gov.in/parivahan//en/content/amount-deducted-fee-payment-showing-pending-application-statusAlan Sabu:How can I get it??In most of the cases, the refund is issued automatically without any request or complaint. Raise a request only if you didn’t receive the refund amount even after a normal time period, say 2-5 business days.', 'Agree with Abdul. I beleive the normal TAT for refund of a failed transaction is 5-7 business days. At least that has been my experience.', 'First check your payment status, if it’s successful or not in the parivahanFor license related payments⤵️https://sarathi.parivahan.gov.in/paymentscov/PayStatusVeri.jspFor vehicle fees related payment⤵️https://vahan.parivahan.gov.in/vahanpgi/faces/ui/transactionStatus.xhtmlIf the Payment got failed on parivahan site but showed successful on jupiter, then just send a mail or contact your state transport department, they’ll definitely process your refund.', 'If the payment has failed on the merchant’s end but has been successfully processed by the bank, the merchant would need to initiate the refund process from their end. I think it will not happen automatically.', 'May be I did generalise. A few days back while trying to pay credit card bills on Cheq, a few payments failed and the money did get deducted from my account. Cheq issued the refund in about 5 business days.', 'But we’ll know this government sites are not do their work promptly.In my personal experience, I encountered a similar issue with a failed transaction and only received the refund after reaching out to the concerned department.', 'Agree with your comment on the government agencies approach to work.', 'Thankyou for your valuable time in helping me guys@razack@saurabh.s@yagnesh01I feel happy to be a member of this community…As@saurabh.sbro said,i had just mailed to helpdesk-sarathi@gov.in regarding my issue to either refund me the amount or to make the transaction success…Special mention to@razackin clearing me all doubts regarding the issue…Rest Im going to wait today and i will update you guys after my issue gets resolved…', 'Happy to help you brother. Please do not hesitate to post here  if you have any further questions…Btw, this is me sitting in front of parivahan site from 10 am to this time, for upgrading the license to smart card…image1798×444 129 KB', 'Be careful to make payment as i got this issue by making payment while upgrading to smart card yesterday…now the server is', 'If you’re curious about our discussion, I regret to inform you that despite Kerala’s high rankings in various areas, our transportation department services remain stuck in the 19th century. Up until last month, driving licenses in Kerala were issued as laminated papers, causing embarrassment when compared to the smart licenses issued by other states.Happy to see some sort of change happening at last.The New Indian ExpressKerala motor vehicles department starts issuing driving licences as smart cardsExisting driving licence holders can also convert to the new smart cards by paying Rs 200 \xa0and postal charges.', 'Abdul, in mumbai, sometime back our RTO had no clue how to proceed further as the contract of the company preparing the smart cards had expired and was not renewed. Initially, licence issuing came to a grinding halt and then, even though it was for a breif period, paper booklet based licenses were issued.', 'The issue was almost same here too.  Smart license distribution contract was handed to a private company in2019 and then some legal disputes occurred between the Govt and them. It took almost 4 years to get this solvedHappy that finally its over.', 'Try paying now…The server is back😃', 'Forgot to gave update regarding the payment. Yes, I have made the payment few hours ago, and it was successful', 'i am also making an LL but getting an slot is a tough job', 'Guess, this aspect does not change in any state!', 'Try to book the slot in midnight, you’ll definitely get one.', 'got a slot it’s 5th of may', 'No reply text available']",[],Help,debit card transaction succesfull amount reflected,paid debit card payment parivahan sarathi website transaction successfullshowing jupiter app showing failed websitemoney got deducted still didnt reflect receiverwill get refund backhow get hello possible problem parivahan sarathi website technical errors website often cause kinds issues suggest checking payment status website 24 hours still shows failed assured jupiter provide refundhttpsparivahangovinparivahanencontentamountdeductedfeepaymentshowingpendingapplicationstatusalan sabuhow get itin cases refund issued automatically without request complaint raise request didnt receive refund amount even normal time period say 25 business days agree abdul beleive normal tat refund failed transaction 57 business days least experience first check payment status successful parivahanfor license related paymentshttpssarathiparivahangovinpaymentscovpaystatusverijspfor vehicle fees related paymenthttpsvahanparivahangovinvahanpgifacesuitransactionstatusxhtmlif payment got failed parivahan site showed successful jupiter send mail contact state transport department theyll definitely process refund payment failed merchants end successfully processed bank merchant would need initiate refund process end think happen automatically may generalise days back trying pay credit card bills cheq payments failed money get deducted account cheq issued refund 5 business days well know government sites work promptlyin personal experience encountered similar issue failed transaction received refund reaching concerned department agree comment government agencies approach work thankyou valuable time helping guyss feel happy member communityassbro saidi mailed helpdesksarathiin regarding issue either refund amount make transaction successspecial mention clearing doubts regarding issuerest im going wait today update guys issue gets resolved happy help brother please hesitate post questionsbtw sitting front parivahan site 10 time upgrading license smart cardimage1798444 129 kb careful make payment got issue making payment upgrading smart card yesterdaynow server youre curious discussion regret inform despite keralas high rankings various areas transportation department services remain stuck 19th century last month driving licenses kerala issued laminated papers causing embarrassment compared smart licenses issued stateshappy see sort change happening lastthe new indian expresskerala motor vehicles department starts issuing driving licences smart cardsexisting driving licence holders also convert new smart cards paying rs 200 xa0and postal charges abdul mumbai sometime back rto clue proceed contract company preparing smart cards expired renewed initially licence issuing came grinding halt even though breif period paper booklet based licenses issued issue almost smart license distribution contract handed private company in2019 legal disputes occurred govt took almost 4 years get solvedhappy finally try paying nowthe server back forgot gave update regarding payment yes made payment hours ago successful also making getting slot tough job guess aspect change state try book slot midnight youll definitely get one got slot 5th may reply text available
Debit card transaction issues,"['Hi Team,Good Morning!!!Recently, I placed an order from Flipkart using a Jupiter debit card but for some reason, I canceled the order and contacted Flipkart customer care advised me that the amount was refunded on 18/04/2033 by the seller but the amount is not credited as of nowReally it’s a bad experience in the Jupiter accountKindly do the needful.regards,Mahantesh B', 'Hey@Mahantesh_ManuHave you raised this issue with our support team yet?', 'yes they told i need wait for 9/05/2023', 'debit card refunds usually takes a long time like 6-7 days', 'I had faced similar experience, In Amazon app it shows as amount has been credited, but in Jupiter it’s not reflected. But, after two days it was reflected in Jupiter app.', 'From my personal experience, even though they had mentioned a date of refund, the seller may process it only after few days. Kindly double check with Flipkart seller again, if possible with reference number.18th April to today is a long period, hope it would be resolved soon.', 'debit card refunds are not instant like upi. call amazon customer care and ask them to transfer the refund to amazon pay balance', 'Unless there is a fund requirement, Pratyay’s suggestion is ideally the fastest to get the refund. I it use later for paying my electricity bill.', 'I have refund reference id CR23041821354914357506703']",[],Help,debit card transaction issues,hi teamgood morningrecently placed order flipkart using jupiter debit card reason canceled order contacted flipkart customer care advised amount refunded seller amount credited nowreally bad experience jupiter accountkindly needfulregardsmahantesh b hey raised issue support team yet yes told need wait debit card refunds usually takes long time like 67 days faced similar experience amazon app shows amount credited jupiter reflected two days reflected jupiter app personal experience even though mentioned date refund seller may process days kindly double check flipkart seller possible reference number18th april today long period hope would resolved soon debit card refunds instant like upi call amazon customer care ask transfer refund amazon pay balance unless fund requirement pratyays suggestion ideally fastest get refund use later paying electricity bill refund reference id cr23041821354914357506703
Money debited from account but not reached the merchant,"['Hi. I had made an offline purchase purchase at Levi’s last Saturday using my debit card. The money got debited but the transaction failed from the merchant. I was promised that the refund would happen by today but I haven’t received it yet. Can anyone help me with what I need to do next?', 'Hai@akasshmuraliWelcome to the community.For a quicker resolution, I suggest you to use the chat option on the app.Further, you can send an email to support@jupiter.money mentioning transaction details.', 'I’ve already tried it. They’re just asking me to wait but for how long?', '@Bhoomika_Gowda@safwan.ahmedPlease look into it', 'Hello Akash,We hear your concern. We regret the inconvenience caused. We are connecting with you via DM to assist you better. Thank you.']",[],Help,money debited account reached merchant,hi made offline purchase purchase levis last saturday using debit card money got debited transaction failed merchant promised refund would happen today havent received yet anyone help need next hai communityfor quicker resolution suggest use chat option appfurther send email supportmoney mentioning transaction details ive already tried theyre asking wait long ahmedplease look hello akashwe hear concern regret inconvenience caused connecting via dm assist better thank
Unable to Make Transactions Using My Visa Debit Card,"['I’m currently facing an issue with my Visa debit card. Whenever I try to make a transaction, it doesn’t proceed to OTP page and redirect to payment and transaction got failed, and I’m not sure what the problem is. I’ve double-checked the card details, and everything seems fine.Has anyone faced a similar issue?', 'Tried loading slice wallet and was able to receive the OTP. Guess this needs a ticket to be raised for further investigation', 'Did this happen on Amazon? I have faced the same issue too!', 'I also tried loading the Amazon wallet, and it’s not working. Flipkart transactions failed too', 'Hi Saurabh, We understand that you encountered issues while making the debit card transactions, and we apologize for the inconvenience caused. Please note that the case has been escalated to the team, and we are working on it. Once we have an update, we will ensure to get back to you. Thank you.', '@saurabh.si competed a test transaction to add money to the Amazon wallet using my debit card. The transaction went through. Guess, this needs to be investigated and you should raise a ticket.', 'I’ve already raised a ticket about this, but haven’t heard back yet. Hoping to get it sorted soon!', 'It’s been more than 20 days since I reported this issue, and I still haven’t received a resolution. no one seems to be taking this seriously, there’s no update. Can someone from Jupiter’s support team actually look into this and provide a real solution instead of just saying it’s being escalated? This is really frustrating.', '@Nikhil_GodboleThis issue has been ongoing for weeks, yet there has been no proper resolution—just vague, templated responses. your support team has been completely ineffective. How much longer will this take? If your team cannot resolve a simple debit card issue, what’s the point of customer support? Stop wasting time and provide a concrete solution immediately. This level of service is unacceptable.', '@saurabh.sApologies for the delay in responding. Will get back with an update by tomorrow. Some details awaited from the Partner bank’s end.']",[],Help,unable make transactions using visa debit card,im currently facing issue visa debit card whenever try make transaction doesnt proceed otp page redirect payment transaction got failed im sure problem ive doublechecked card details everything seems finehas anyone faced similar issue tried loading slice wallet able receive otp guess needs ticket raised investigation happen amazon faced issue also tried loading amazon wallet working flipkart transactions failed hi saurabh understand encountered issues making debit card transactions apologize inconvenience caused please note case escalated team working update ensure get back thank si competed test transaction add money amazon wallet using debit card transaction went guess needs investigated raise ticket ive already raised ticket havent heard back yet hoping get sorted soon 20 days since reported issue still havent received resolution one seems taking seriously theres update someone jupiters support team actually look provide real solution instead saying escalated really frustrating issue ongoing weeks yet proper resolutionjust vague templated responses support team completely ineffective much longer take team cannot resolve simple debit card issue whats point customer support stop wasting time provide concrete solution immediately level service unacceptable sapologies delay responding get back update tomorrow details awaited partner banks end
Money debited but not being reflected to Pot,"['I made a pot for saving purpose. Added 7k in pot. Sadly the amount deducted and status of payment successful was shown. However the amount of 7k did not reflected in my pot. To eradicate the error i made another transaction of ₹1/- and it reflected immediately. But that ₹7000/- is missing.  Raised a complaint on live chat but didnt get the satisfactory reply. What should i do now?IMG_20240207_133402_939854×1280 102 KB', '@Rajat_Khannaagree the experience can be concerning. Having said that this could be a temporary technical error. It is recommended you continue to stay connected with the support team via the in app chat & take this to closure.', '@yagnesh01Will i get a satisfactory solution to this problem?', 'Hello Rajat.We hear your concern. We sincerely apologize for any inconvenience caused. We will be reaching out to you via direct message to address and resolve the issue.Thank you for your understanding.', 'The issue is resolved. The amount is finally reflected in my pot. Thank you for the assistance.', '@Rajat_Khannacan you please marked the thread as resolved.', 'Done', 'This topic was automatically closed 24 hours after the last reply. New replies are no longer allowed.']",[],Help,money debited reflected pot,made pot saving purpose added 7k pot sadly amount deducted status payment successful shown however amount 7k reflected pot eradicate error made another transaction 1 reflected immediately 7000 missing raised complaint live chat didnt get satisfactory reply nowimg202402071334029398541280 102 kb experience concerning said could temporary technical error recommended continue stay connected support team via app chat take closure get satisfactory solution problem hello rajatwe hear concern sincerely apologize inconvenience caused reaching via direct message address resolve issuethank understanding issue resolved amount finally reflected pot thank assistance please marked thread resolved done topic automatically closed 24 hours last reply new replies longer allowed
"Account creation failing, says Mobile number update initiated","['Hi, I’ve been trying to create a Jupiter account for the past few days.When I add my mobile number, it says Mobile number update initiated. And I cannot move forward from here.I got in touch with customer support and after a few discussions, they got to know the issue.The phone number I used for onboarding was associated with a different customer’s account in their system. And due to company policy, they’re unable to delete or modify this data from their database.I recently got a new phone number and linked it with my Aadhaar & PAN. I also have a federal account with this new number. But I cannot for some reason create a Jupiter account because some X customer had used my new number previously.Now I cannot onboard Jupiter because of the said issue. The customer support says I can onboard if I get a new sim and gets it linked to my Aadhaar/PAN and that’s a long, hectic process which I do not want to go through.Please allow users to create an account with any number as long as it’s linked with their Aadhar and PAN.Follow the same while they change their number.This is a very lame issue and we should fix it.Any help is welcome.', 'Maybe it’s not possible, because someone already linked a account using your number in past. And Jupiter account can be used by the number only.If they remove the number he/she can’t access the account.You can go for another bank account.Or wait till Jupiter update their policy. ( If they allow in future)We are sorry to say, we can’t help.Still you can request@Jiten@Shawnpinto@Nikhil_Godbole']",[],Help,account creation failing says mobile number update initiated,hi ive trying create jupiter account past dayswhen add mobile number says mobile number update initiated cannot move forward herei got touch customer support discussions got know issuethe phone number used onboarding associated different customers account system due company policy theyre unable delete modify data databasei recently got new phone number linked aadhaar pan also federal account new number cannot reason create jupiter account x customer used new number previouslynow cannot onboard jupiter said issue customer support says onboard get new sim gets linked aadhaarpan thats long hectic process want go throughplease allow users create account number long linked aadhar panfollow change numberthis lame issue fix itany help welcome maybe possible someone already linked account using number past jupiter account used number onlyif remove number heshe cant access accountyou go another bank accountor wait till jupiter update policy allow futurewe sorry say cant helpstill request
I need help with my ekyc with aadhaar,"['I am unable to open an account since I did my ekyc for aadhar using a different phone number . It failed. I changed my number on aadhar to the one with which I have logged in to Jupiter but still this issue persists .Please guide me for the same…', 'Hi@Abhinav1the support team should be able to guide you with the next steps.You can connect with them through email or call support']",[],Help,need help ekyc aadhaar,unable open account since ekyc aadhar using different phone number failed changed number aadhar one logged jupiter still issue persists please guide hi support team able guide next stepsyou connect email call support
Issue with Changing Phone Number on Jupiter App,"['I am writing to bring to your attention an issue I am currently facing with changing my phone number on the Jupiter app.When attempting to update my phone number, the app indicates that my desired number is already associated with another account. I suspect this may be the same number I tried to use when initially creating my account. Unfortunately, at that time, I encountered difficulties with Aadhar verification, preventing the successful creation of the account.Since then, I have successfully created an account using a different phone number.Previously, I had initiated the account opening process using a phone number that I could not complete due to Aadhar verification issues. Consequently, that previous account remains incomplete and half-baked.Now, as I am trying to switch my currently opened account’s phone number to that previous phone number which is linked with my bank accounts and Aadhaar card, the app indicates that my desired number is already associated with the incomplete KYC account which I did not open yet and now not even allowing me to proceed with the further with that account also.Could you kindly guide me on how to delete or resolve the half-baked account associated with my previous phone number?Your prompt assistance in addressing this matter would be highly appreciated. I look forward to your guidance.', 'Hai@Rahul_ParmarYou can use the chat option on the app for a quick response. Also, you can create a support ticket by mailing this issue to support@jupiter.moneyTagging@Nikhil_GodboleSir too', '@razackI have mailed this issue already. And talked with customer support as well. I am very disappointed by their answer on this issue. They straightly denied me that there is no such thing now they can do to disable my half-baked KYC number to be removed from your database. That is why I have raised the issue here in the community. No bank can deny changing the number to another number I do not know what is this new policy that is not allowing me to change my basic phone number. If its a bug please do fix that.It is very frustrating.Kind Regards.@Nikhil_Godbole', '@razackhey team, any updates on this one.', 'Hi Rahul,We acknowledge your concern. We’ve reached out to you through your registered email, and we’ve had a discussion about it. We’ll provide you with updates on the same.Your support and patience during this time are highly valued.Thank you!', 'I have the same issue. First they didnt resolve my issue over email now they are not allowing me to change my no.', 'I truly appreciate your dedication to ensuring a smooth experience for your users. The level of professionalism and commitment to customer satisfaction demonstrated by you and the team at Jupiter has left a lasting positive impression on me.So for the solution, they deleted one of my phone numbers which was stuck in between because of the half-backed process. And then I was able to change the phone number to that one from my current number.', 'How you deleted that number which stuck in between.I called but they told me that the feature is comming soon, plz help me.', '@ShawnpintoI faced the same issue but I was unable to change my number, can I change my number now?', 'It looks like complaining continuously and wasting time is the only way to solve this issue', 'This topic was automatically closed 24 hours after the last reply. New replies are no longer allowed.']",[],Help,issue changing phone number jupiter app,writing bring attention issue currently facing changing phone number jupiter appwhen attempting update phone number app indicates desired number already associated another account suspect may number tried use initially creating account unfortunately time encountered difficulties aadhar verification preventing successful creation accountsince successfully created account using different phone numberpreviously initiated account opening process using phone number could complete due aadhar verification issues consequently previous account remains incomplete halfbakednow trying switch currently opened accounts phone number previous phone number linked bank accounts aadhaar card app indicates desired number already associated incomplete kyc account open yet even allowing proceed account alsocould kindly guide delete resolve halfbaked account associated previous phone numberyour prompt assistance addressing matter would highly appreciated look forward guidance hai use chat option app quick response also create support ticket mailing issue supportmoneytagging mailed issue already talked customer support well disappointed answer issue straightly denied thing disable halfbaked kyc number removed database raised issue community bank deny changing number another number know new policy allowing change basic phone number bug please fix thatit frustratingkind regards team updates one hi rahulwe acknowledge concern weve reached registered email weve discussion well provide updates sameyour support patience time highly valuedthank issue first didnt resolve issue email allowing change truly appreciate dedication ensuring smooth experience users level professionalism commitment customer satisfaction demonstrated team jupiter left lasting positive impression meso solution deleted one phone numbers stuck halfbacked process able change phone number one current number deleted number stuck betweeni called told feature comming soon plz help faced issue unable change number change number looks like complaining continuously wasting time way solve issue topic automatically closed 24 hours last reply new replies longer allowed
Offline kyc required,"['i had lost my number linked with aadhar card but i need to create salary accountfor company could u arange me ofline kyc', '@rajesh25csCurrently, we don’t have a facility to do offline KYC.', 'Then is there any alternate option', '@rajesh25csIt’s a digital Bank account and it needs your phone number to be active. I would suggest you link your new number to your Aadhaar and try onboarding again as I can see that there is no account opened for you in Jupiter.Please try onboarding after 7 days of linking your new mobile number to Aadhaar. If you get an error while onboarding, please let us know.']",[],Help,offline kyc required,lost number linked aadhar card need create salary accountfor company could u arange ofline kyc dont facility offline kyc alternate option digital bank account needs phone number active would suggest link new number aadhaar try onboarding see account opened jupiterplease try onboarding 7 days linking new mobile number aadhaar get error onboarding please let us know
Not able to create account on my mobile app,"['I am getting the error message as "" The name on Aadhaar and PAN aren’t matching please give us 5 business days to resolve"" but it is already 15 days still no update. Can any one please provide the customer care number to talk with?', 'Welcome to the community@Niru_NarikadamalliYou can mail your issue atsupport@jupiter.moneyor call the customer care at 08655055086 (available 9am - 9pm)', 'thank you sir will call tomorrow']",[],Help,able create account mobile app,getting error message name aadhaar pan arent matching please give us 5 business days resolve already 15 days still update one please provide customer care number talk welcome community mail issue atsupportmoneyor call customer care 08655055086 available 9am 9pm thank sir call tomorrow
